x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,weight
ar,mapt,ar---mapt,basal,MIIC,P,NA,29.118872,0.211103780053671,29.118872,9.951157,199,19.167715,0.138960640078759,1,FALSE,+,0.448879415592927,0.5,0.5,NA
acvrl1,adgra2,acvrl1---adgra2,basal,MIIC,P,NA,40.107546,0.290768631740834,40.107546,21.618122,199,18.489424,0.134043217656751,1,FALSE,+,0.590216282745161,0.5,0.5,NA
hey1,heyl,hey1---heyl,basal,MIIC,P,NA,33.547004,0.243206514107951,33.547004,15.092374,199,18.45463,0.133790970766034,1,FALSE,+,0.477307716320567,0.5,0.5,NA
ar,cdk6,ar---cdk6,basal,MIIC,P,NA,30.89214,0.223959483318832,30.89214,12.497666,199,18.394474,0.133354856379703,1,FALSE,-,-0.458614283538907,0.5,0.5,NA
col12a1,hsd17b6,col12a1---hsd17b6,basal,MIIC,P,NA,39.268794,0.284687911384373,39.268794,21.138922,199,18.129872,0.131436564956541,1,FALSE,+,0.457801649690016,0.0412654606857796,0.5,NA
pik3r1,tgfb3,pik3r1---tgfb3,basal,MIIC,P,NA,39.216882,0.284311563721244,39.216882,21.613759,199,17.603123,0.127617780182203,1,FALSE,+,0.528649149515895,0.5,0.5,NA
ar,mmp7,ar---mmp7,basal,MIIC,P,NA,27.178434,0.197036140456925,27.178434,9.997594,199,17.18084,0.124556345056818,2,FALSE,-,-0.466005845449086,0.5,0.975674129040448,NA
map2k1,mapk6,map2k1---mapk6,basal,MIIC,P,NA,36.729151,0.266276201023929,36.729151,19.707985,199,17.021166,0.123398752655014,1,FALSE,+,0.457450303582454,0.336393223670623,0.5,NA
abcc10,ctnna1,abcc10---ctnna1,basal,MIIC,P,NA,26.421613,0.191549397223052,26.421613,9.572229,199,16.849384,0.122153380597155,2,FALSE,-,-0.382133830669311,0.5,0.819510321377956,NA
cbfb,ctnna1,cbfb---ctnna1,basal,MIIC,P,NA,25.909733,0.187838408592247,25.909733,9.28999,199,16.619743,0.120488546768588,-2,FALSE,+,0.0824304590079515,0.98581079719512,0.5,NA
dab2,mecom,dab2---mecom,basal,MIIC,P,NA,31.517016,0.228489661742805,31.517016,15.047796,199,16.46922,0.119397296589494,1,FALSE,+,0.452632027763625,0.437874674683437,0.5,NA
arid1a,sf3b1,arid1a---sf3b1,basal,MIIC,P,NA,26.10377,0.189245123253799,26.10377,9.771222,199,16.332548,0.11840646233508,1,FALSE,+,0.392704104474203,0.5,5.98143451064057e-4,NA
ar,frmd3,ar---frmd3,basal,MIIC,P,NA,26.210988,0.190022424142714,26.210988,9.938797,199,16.272191,0.117968890754261,1,FALSE,-,-0.438332905689868,0.5,0.00256120745219277,NA
adam10,map2k2,adam10---map2k2,basal,MIIC,P,NA,25.479341,0.184718185456376,25.479341,9.651178,199,15.828163,0.114749810384333,-2,FALSE,-,-0.343848420719251,0.991039921622818,0.5,NA
jak1,kdm6a,jak1---kdm6a,basal,MIIC,P,NA,36.080747,0.261575451097836,36.080747,20.260575,199,15.820172,0.114691877841258,1,FALSE,+,0.415453497168115,0.235343126661479,0.5,NA
jak1,mmp15,jak1---mmp15,basal,MIIC,P,NA,25.642978,0.185904508513692,25.642978,9.833456,199,15.809522,0.114614668282538,1,FALSE,-,-0.365094206021434,0.0123144273841209,0.5,NA
acvr2b,itgav,acvr2b---itgav,basal,MIIC,P,NA,29.634025,0.214838497030551,29.634025,14.087737,199,15.546288,0.112706294481566,1,FALSE,-,-0.235030813203614,0.5,0.5,NA
hey1,jag1,hey1---jag1,basal,MIIC,P,NA,25.245619,0.183023765504885,25.245619,10.025745,199,15.219874,0.110339883129421,2,FALSE,+,0.471349284089309,0.5,0.998085802269552,NA
hsd3b1,utrn,hsd3b1---utrn,basal,MIIC,P,NA,29.948509,0.21711841917748,29.948509,14.916934,199,15.031575,0.108974767383168,1,FALSE,+,0.402388916996894,0.5,0.5,NA
dab2,rad51,dab2---rad51,basal,MIIC,P,NA,29.896759,0.21674324596961,29.896759,14.921335,199,14.975424,0.108567688140752,1,FALSE,-,-0.471004578204594,0.5,0.5,NA
eif4e,zfp36l1,eif4e---zfp36l1,basal,MIIC,P,NA,29.682616,0.215190768360861,29.682616,14.981484,199,14.701132,0.106579146893739,1,FALSE,+,0.549572102938937,0.189927173365875,0.5,NA
csf1r,dab2,csf1r---dab2,basal,MIIC,P,NA,29.292656,0.212363666058625,29.292656,14.708141,199,14.584515,0.105733705850607,1,FALSE,+,0.439252304427754,0.5,0.292123333587037,NA
acvr2a,pdgfra,acvr2a---pdgfra,basal,MIIC,P,NA,35.467456,0.257129260724359,35.467456,20.911056,199,14.5564,0.105529879865307,1,FALSE,+,0.430869065683897,0.5,0.5,NA
mapk14,nf2,mapk14---nf2,basal,MIIC,P,NA,28.99878,0.210233146220252,28.99878,14.977497,199,14.021283,0.101650429402014,1,FALSE,+,0.543675401125135,0.5,0.5,NA
ncoa2,nf2,ncoa2---nf2,basal,MIIC,P,NA,23.96596,0.173746591166549,23.96596,10.021667,199,13.944293,0.101092273164838,1,FALSE,+,0.462564336835694,0.5,0.5,NA
jak1,myc,jak1---myc,basal,MIIC,P,NA,28.48067,0.206476991810025,28.48067,14.570408,199,13.910262,0.100845557813398,6,FALSE,+,0.273994526413906,0.98973640543225,0.998809022539628,NA
cdk6,shank2,cdk6---shank2,basal,MIIC,P,NA,26.40184,0.191406048433889,26.40184,12.543448,199,13.858392,0.10046951463867,1,FALSE,+,0.499171615654028,0.5,0.5,NA
nf2,stat3,nf2---stat3,basal,MIIC,P,NA,23.606616,0.171141446408895,23.606616,9.958319,199,13.648297,0.0989463839119584,2,FALSE,+,0.454899428810378,0.5,0.565535675754656,NA
mapk14,stat3,mapk14---stat3,basal,MIIC,P,NA,23.582814,0.170968888482446,23.582814,9.966612,199,13.616202,0.0987137040258411,1,FALSE,+,0.428733875312209,0.5,0.5,NA
frmd3,ncoa3,frmd3---ncoa3,basal,MIIC,P,NA,23.571581,0.170887452334736,23.571581,9.961198,199,13.610383,0.0986715178829118,-2,FALSE,-,-0.393863855434529,0.997440978837815,0.5,NA
col12a1,ptprd,col12a1---ptprd,basal,MIIC,P,NA,34.890878,0.252949229461617,34.890878,21.367524,199,13.523354,0.098040581668271,1,FALSE,+,0.564475173919234,3.19197046746917e-4,0.5,NA
ackr3,col6a3,ackr3---col6a3,basal,MIIC,P,pdgfrb [35%],45.030348,0.326457586678916,26.324274,12.851542,199,13.472732,0.0976735861488746,1,FALSE,+,0.326719082047105,0.5,0.5,NA
akt1,ar,akt1---ar,basal,MIIC,P,NA,23.42833,0.169848922147287,23.42833,9.967432,199,13.460898,0.0975877929171465,1,FALSE,+,0.443651591289782,0.5,0.5,NA
erbb4,zfp36l1,erbb4---zfp36l1,basal,MIIC,P,NA,23.339906,0.169207872567912,23.339906,9.964388,199,13.375518,0.0969688114970908,1,FALSE,-,-0.426756073363968,0.0914460165320874,0.5,NA
jak1,rbl2,jak1---rbl2,basal,MIIC,P,NA,34.026762,0.246684627110096,34.026762,20.690439,199,13.336323,0.0966846585718262,2,TRUE,+,0.42232518689181,1.22336552081349e-4,0.999858586353058,NA
ccne1,e2f3,ccne1---e2f3,basal,MIIC,P,NA,23.056292,0.167151749395416,23.056292,9.887318,199,13.168974,0.0954714245396768,1,FALSE,+,0.428647784376428,0.5,0.5,NA
map2k1,tnk2,map2k1---tnk2,basal,MIIC,P,NA,22.761819,0.165016901471921,22.761819,9.739841,199,13.021978,0.0944057441365084,1,FALSE,-,-0.334856608583329,0.5,0.5,NA
foxo3,mapk9,foxo3---mapk9,basal,MIIC,P,NA,27.816328,0.201660695785632,27.816328,14.878777,199,12.937551,0.0937936717032565,2,FALSE,-,-0.397730313937736,0.5,0.999999606623194,NA
col12a1,mmp3,col12a1---mmp3,basal,MIIC,P,NA,22.878315,0.16586146529847,22.878315,10.00315,199,12.875165,0.0933413904327998,1,FALSE,+,0.462029202887963,0.0370556913332425,0.5,NA
mmp16,thsd7a,mmp16---thsd7a,basal,MIIC,P,NA,22.809455,0.16536224931598,22.809455,9.96846,199,12.840995,0.0930936673697486,1,FALSE,+,0.307089995431704,0.5,0.5,NA
ar,mapk4,ar---mapk4,basal,MIIC,P,NA,22.780642,0.165153363023451,22.780642,9.998588,199,12.782054,0.092666361397864,1,FALSE,-,-0.313721638495508,0.5,0.5,NA
ccnd2,jak2,ccnd2---jak2,basal,MIIC,P,NA,22.76204,0.165018503660886,22.76204,10.014029,199,12.748011,0.0924195590497385,1,FALSE,+,0.364694201838237,0.326638772824676,0.5,NA
erbb2,tgfb3,erbb2---tgfb3,basal,MIIC,P,NA,22.316979,0.161791934326247,22.316979,9.645394,199,12.671585,0.0918654916567989,1,FALSE,+,0.370166629234559,0.5,0.5,NA
