x,y,weight,subtype,method,edge_id
spry2,acvrl1,0.07908162841898125,luma,ARACNE,acvrl1---spry2
map4,pms2,0.078949428951959,luma,ARACNE,map4---pms2
casp9,adam10,0.07892647527458241,luma,ARACNE,adam10---casp9
mecom,nr2f1,0.07889237993862874,luma,ARACNE,mecom---nr2f1
afdn,fgf1,0.07879569960148114,luma,ARACNE,afdn---fgf1
map3k1,ubr5,0.0787155439717182,luma,ARACNE,map3k1---ubr5
pdgfra,fgf1,0.07864932511087641,luma,ARACNE,fgf1---pdgfra
tsc2,ncstn,0.0785056370099877,luma,ARACNE,ncstn---tsc2
fbxw7,eif4e,0.07840391296440341,luma,ARACNE,eif4e---fbxw7
mapk14,myc,0.07787658574440837,luma,ARACNE,mapk14---myc
mapk14,arid1a,0.0778610608761987,luma,ARACNE,arid1a---mapk14
igf1,ncstn,0.07756029765243966,luma,ARACNE,igf1---ncstn
ctbp2,arid1a,0.07749443837779513,luma,ARACNE,arid1a---ctbp2
mtor,spen,0.07726050082290215,luma,ARACNE,mtor---spen
ctcf,acvr1,0.07719100941891277,luma,ARACNE,acvr1---ctcf
bche,eif4e,0.07716982932233485,luma,ARACNE,bche---eif4e
maml1,spry2,0.0765709801629404,luma,ARACNE,maml1---spry2
sf3b1,kdm6a,0.07644075462621647,luma,ARACNE,kdm6a---sf3b1
map4,igf1,0.07631564822789194,luma,ARACNE,igf1---map4
igf1,arid5b,0.07615065385010666,luma,ARACNE,arid5b---igf1
eif5a2,col6a3,0.0760321072443384,luma,ARACNE,col6a3---eif5a2
itgav,eif4e,0.0755667901733128,luma,ARACNE,eif4e---itgav
myh9,col6a3,0.07555940787101623,luma,ARACNE,col6a3---myh9
hsd17b6,map4,0.0755515937818041,luma,ARACNE,hsd17b6---map4
ncor2,setd2,0.07524825299999449,luma,ARACNE,ncor2---setd2
hsd17b6,arid5b,0.07521997651682977,luma,ARACNE,arid5b---hsd17b6
mlst8,spry2,0.07485113600930937,luma,ARACNE,mlst8---spry2
itgav,rps6kb2,0.07478934785749569,luma,ARACNE,itgav---rps6kb2
abcc1,smarcd1,0.07478622267704171,luma,ARACNE,abcc1---smarcd1
ncor1,maml1,0.07471290681233267,luma,ARACNE,maml1---ncor1
smad1,arid1a,0.07466840790174611,luma,ARACNE,arid1a---smad1
spen,prkcq,0.0745979069007987,luma,ARACNE,prkcq---spen
ptprm,heyl,0.07452296117846391,luma,ARACNE,heyl---ptprm
casp8,pms2,0.07446105572923045,luma,ARACNE,casp8---pms2
bche,zfp36l1,0.07443173456022478,luma,ARACNE,bche---zfp36l1
pdgfra,tnk2,0.0742711739417965,luma,ARACNE,pdgfra---tnk2
ctbp2,casp8,0.0740591080228894,luma,ARACNE,casp8---ctbp2
jak1,kdm6a,0.07399786933705776,luma,ARACNE,jak1---kdm6a
numbl,thsd7a,0.07393993111607067,luma,ARACNE,numbl---thsd7a
pdgfra,ncstn,0.07337031271002381,luma,ARACNE,ncstn---pdgfra
mmp19,spry2,0.07314697103607504,luma,ARACNE,mmp19---spry2
pdgfra,ctcf,0.07306290280860583,luma,ARACNE,ctcf---pdgfra
map3k1,mapk14,0.0726856274634029,luma,ARACNE,map3k1---mapk14
igf1,maml1,0.07262914261968234,luma,ARACNE,igf1---maml1
mapk14,smad7,0.07237797468698837,luma,ARACNE,mapk14---smad7
col12a1,ackr3,0.07235607227848284,luma,ARACNE,ackr3---col12a1
cxcr1,prkg1,0.07193408195732509,luma,ARACNE,cxcr1---prkg1
ncor1,taf1,0.07193111571801758,luma,ARACNE,ncor1---taf1
asxl2,smarcd1,0.07153490941026153,luma,ARACNE,asxl2---smarcd1
tgfbr3,akr1c2,0.07143034947362992,luma,ARACNE,akr1c2---tgfbr3
arid1a,kdm6a,0.07100551187785875,luma,ARACNE,arid1a---kdm6a
col6a3,ackr3,0.07099118932888615,luma,ARACNE,ackr3---col6a3
asxl2,pms2,0.07071361203052362,luma,ARACNE,asxl2---pms2
col6a3,dab2,0.07055080478462461,luma,ARACNE,col6a3---dab2
sdc4,eif4e,0.07013289098570574,luma,ARACNE,eif4e---sdc4
acvr2a,cdkn1b,0.06983109433427792,luma,ARACNE,acvr2a---cdkn1b
maml3,map4,0.06975348388722757,luma,ARACNE,maml3---map4
tnk2,ncstn,0.06970734310132531,luma,ARACNE,ncstn---tnk2
adam10,itgav,0.0696582467235567,luma,ARACNE,adam10---itgav
afdn,stat3,0.06922796181943713,luma,ARACNE,afdn---stat3
casp8,akr1c4,0.06907755856161923,luma,ARACNE,akr1c4---casp8
syne1,eif4e,0.0690214210330522,luma,ARACNE,eif4e---syne1
cxcr1,hdac9,0.06881500100171856,luma,ARACNE,cxcr1---hdac9
tgfbr3,igf1,0.06852909221173054,luma,ARACNE,igf1---tgfbr3
jak1,taf1,0.06811689774233276,luma,ARACNE,jak1---taf1
arid5b,map2k2,0.06803654617188126,luma,ARACNE,arid5b---map2k2
sf3b1,jag1,0.06797963614566704,luma,ARACNE,jag1---sf3b1
jak1,map4,0.06787502483833396,luma,ARACNE,jak1---map4
