x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,consensus
eif4e,fbxw7,eif4e---fbxw7,basal,MIIC,P,NA,23.42859,0.169850807075481,23.42859,14.692856,199,8.735734,0.0633316588961061,2,FALSE,-,-0.44928142579622,0.5,0.999998706851662,3-method
ccnd1,notch3,ccnd1---notch3,basal,MIIC,P,NA,23.467074,0.170129805447107,23.467074,14.851189,199,8.615885,0.0624627867455759,1,FALSE,+,0.411501578010445,0.5,0.5,3-method
hes2,notch3,hes2---notch3,basal,MIIC,P,NA,18.569363,0.134622753329482,18.569363,9.979949,199,8.589414,0.0622708793062424,1,FALSE,+,0.325244403837369,0.5,0.5,3-method
myc,nrarp,myc---nrarp,basal,MIIC,P,NA,29.577285,0.214427147700802,29.577285,21.098878,199,8.478407,0.0614661092137602,1,FALSE,+,0.464473300012711,0.00604140275980542,0.5,3-method
abcc10,psen2,abcc10---psen2,basal,MIIC,P,NA,18.33708,0.132938765730574,18.33708,9.974614,199,8.362466,0.0606255689839325,2,FALSE,+,0.391540111984447,0.5,0.659224846124081,3-method
akt1,myc,akt1---myc,basal,MIIC,P,NA,23.33838,0.169196809489358,23.33838,14.994935,199,8.3434449999999991,0.0604876719870845,1,FALSE,-,-0.406875285518502,0.5,0.5,3-method
cdk6,ttyh1,cdk6---ttyh1,basal,MIIC,P,ar [50%],38.034402,0.275738910294358,13.608149,5.345016,199,8.263133,0.0599054321673665,1,FALSE,+,0.410853426257871,0.5,0.5,3-method
notch3,nrarp,notch3---nrarp,basal,MIIC,P,NA,26.980109,0.195598338979617,26.980109,18.91092,199,8.069189,0.0584993917301295,-2,FALSE,+,0.253707268808938,0.9888705715633,0.5,3-method
frmd3,ttyh1,frmd3---ttyh1,basal,MIIC,P,ar [35%],22.356797,0.162080603829454,18.516145,10.537892,199,7.978253,0.05784013084451,-2,FALSE,+,0.271798917477721,0.997440978837815,0.5,3-method
nfkb2,rbl2,nfkb2---rbl2,basal,MIIC,P,NA,22.623679,0.164015424622934,22.623679,14.664328,199,7.959351,0.057703096564797,2,FALSE,-,-0.321211821272445,0.5,0.982691086515732,3-method
adam17,asxl2,adam17---asxl2,basal,MIIC,P,NA,22.614363,0.163947886195793,22.614363,14.791151,199,7.823212,0.0567161264131811,1,FALSE,+,0.342050163012377,0.5,0.5,3-method
frmd3,map2,frmd3---map2,basal,MIIC,P,NA,17.651593,0.127969174295931,17.651593,10.016067,199,7.635526,0.0553554547476319,1,FALSE,+,0.342544170714397,0.00499796433066692,0.5,3-method
heyl,notch3,heyl---notch3,basal,MIIC,P,NA,22.550193,0.163482671418035,22.550193,14.962266,199,7.587927,0.0550103751433541,1,FALSE,+,0.325194400178562,0.5,0.5,3-method
abcc10,map2k2,abcc10---map2k2,basal,MIIC,P,adam10 [23%],22.263224,0.161402225422111,14.705881,7.235947,199,7.469934,0.0541549584802405,1,FALSE,+,0.392778970244014,0.5,0.017138395803802,3-method
adgra2,mecom,adgra2---mecom,basal,MIIC,P,nr2f1 [47%],23.910028,0.17334109961365,13.609177,6.195886,199,7.413291,0.0537443123737024,1,FALSE,+,0.21793827027053,0.5,0.5,3-method
map2k2,nfkb2,map2k2---nfkb2,basal,MIIC,P,NA,17.327021,0.12561611693507,17.327021,9.995279,199,7.331742,0.0531531046456147,1,FALSE,+,0.415635784292536,0.5,0.5,3-method
dll1,smad6,dll1---smad6,basal,MIIC,P,NA,21.993984,0.159450309779855,21.993984,14.751663,199,7.242321,0.0525048270915879,-2,FALSE,+,0.277111185727105,0.948914141343874,0.5,3-method
eif5a2,myc,eif5a2---myc,basal,MIIC,P,jak1 [4%],17.140261,0.124262158513781,15.737711,8.750613,199,6.987098,0.0506545308281668,1,FALSE,-,-0.266555142191138,0.5,0.5,3-method
cbfb,smad4,cbfb---smad4,basal,MIIC,P,NA,21.71523,0.157429420265142,21.71523,14.772775,199,6.942455,0.0503308814075115,1,FALSE,+,0.384396017802739,0.5,0.5,3-method
myc,sf3b1,myc---sf3b1,basal,MIIC,P,jak1 [21%],29.729533,0.215530903653491,13.014384,6.25795,199,6.756434,0.0489822805321286,1,FALSE,+,0.372900855131029,0.5,0.5,3-method
arid1a,jak1,arid1a---jak1,basal,MIIC,P,sf3b1 [36%],24.912073,0.180605649122431,22.975892,16.315774,199,6.660118,0.0482840161323383,2,FALSE,+,0.177231611650762,0.5,0.999916307632999,3-method
smad4,smad7,smad4---smad7,basal,MIIC,P,NA,23.589309,0.17101597543868,23.589309,16.982386,199,6.606923,0.0478983670735439,1,FALSE,+,0.477357387996502,0.245900232840075,0.5,3-method
itgav,mmp7,itgav---mmp7,basal,MIIC,P,NA,16.251129,0.11781619707109,16.251129,9.936631,199,6.314498,0.0457783665844386,2,FALSE,+,0.38956359804642,0.5,0.975674129040448,3-method
ncoa3,smad4,ncoa3---smad4,basal,MIIC,P,bcl2l1 [25%],20.599862,0.149343310303503,12.039878,5.919497,199,6.120381,0.0443710719449801,1,FALSE,-,-0.373388359935694,0.5,0.5,3-method
nf2,nfkb2,nf2---nfkb2,basal,MIIC,P,NA,15.932811,0.115508479483021,15.932811,10.028817,199,5.903994,0.0428023259559708,1,FALSE,-,-0.387009116810433,0.5,0.5,3-method
palb2,rbl1,palb2---rbl1,basal,MIIC,P,NA,15.743879,0.114138774661587,15.743879,10.012458,199,5.731421,0.0415512193665672,-2,FALSE,+,0.38793525491631897,0.950008833687627,0.5,3-method
fancd2,raf1,fancd2---raf1,basal,MIIC,P,NA,18.061931,0.130944011470244,18.061931,12.428484,199,5.633447,0.0408409349246774,1,FALSE,+,0.474165304742168,0.5,0.5,3-method
cdk6,mmp7,cdk6---mmp7,basal,MIIC,P,ar [48%],25.394635,0.184104090350177,12.416033,6.98925,199,5.426783,0.0393426780004047,1,FALSE,+,0.311317807162512,0.5,0.5,3-method
ccnd2,rbpj,ccnd2---rbpj,basal,MIIC,P,NA,15.343686,0.111237485935464,15.343686,9.949929,199,5.393757,0.0391032486214077,1,FALSE,+,0.218261001979595,0.5,0.5,3-method
eif4e,sf3b1,eif4e---sf3b1,basal,MIIC,P,jak1 [71%],27.697426,0.200798689123563,12.627978,7.386036,199,5.241942,0.0380026317991335,6,FALSE,+,0.292550256501174,0.976759624346825,0.999510530639318,3-method
mmp1,mmp12,mmp1---mmp12,basal,MIIC,P,NA,20.1392,0.146003638027493,20.1392,14.929333,199,5.209867,0.0377700969074928,1,FALSE,+,0.384822597837673,0.5,0.5,3-method
bmf,runx1,bmf---runx1,basal,MIIC,P,NA,15.223708,0.110367678570561,15.223708,10.025745,199,5.197963,0.0376837961950971,1,FALSE,+,0.345960762069592,0.5,0.103581710298014,3-method
adam10,sf3b1,adam10---sf3b1,basal,MIIC,P,jak1 [78%],36.010075,0.261063098615777,10.42439,5.286018,199,5.138372,0.0372517779027272,1,FALSE,+,0.248919797703753,0.00896263262190456,0.5,3-method
adgra2,ncor2,adgra2---ncor2,basal,MIIC,P,NA,14.840574,0.107590062883144,14.840574,9.964388,199,4.876186,0.0353510018123226,1,FALSE,+,0.318409178035934,0.5,0.5,3-method
eif5a2,map3k3,eif5a2---map3k3,basal,MIIC,P,NA,19.613381,0.142191595496311,19.613381,14.762619,199,4.850762,0.0351666848338323,1,FALSE,+,0.342541516388518,0.5,0.5,3-method
rassf1,stat5a,rassf1---stat5a,basal,MIIC,P,NA,14.607683,0.105901667452151,14.607683,9.950634,199,4.657049,0.0337623190827985,1,FALSE,+,0.470020736264971,0.5,0.5,3-method
frmd3,mmp7,frmd3---mmp7,basal,MIIC,P,ar [59%];map2 [17%],25.618759,0.18572892745241,9.41743,5.797402,199,3.620028,0.0262442032335638,1,FALSE,+,0.219287143922716,0.00331767700416615,0.5,3-method
ccne1,eif4ebp1,ccne1---eif4ebp1,basal,MIIC,P,NA,13.606478,0.0986432077113808,13.606478,10.006386,199,3.600092,0.0260996727394172,1,FALSE,+,0.311326447132064,0.5,0.5,3-method
asxl2,birc6,asxl2---birc6,basal,MIIC,P,NA,13.318464,0.0965551857540613,13.318464,9.980419,199,3.338045,0.0241999043606241,1,FALSE,+,0.252866903281496,0.5,0.5,3-method
jag1,pdgfrb,jag1---pdgfrb,basal,MIIC,P,heyl [70%],25.530293,0.185087573384634,10.087895,6.957405,199,3.13049,0.0226951879324246,-2,TRUE,+,0.0705768063824364,0.998085802269552,0.00121360479543114,3-method
