subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info
luma,mmp15---sdc4,sdc4,mmp15,sdc4 -> mmp15,0.5,0.00495332716161427,0.4950466728383857,53.856809
luma,acvr1b---spen,acvr1b,spen,acvr1b -> spen,0.00510156258243036,0.5,0.4948984374175696,49.890328
luma,hdac1---spen,hdac1,spen,hdac1 -> spen,0.00516851044592109,0.5,0.4948314895540789,63.899297
luma,maml1---spry2,maml1,spry2,maml1 -> spry2,0.00518758550105515,0.5,0.49481241449894486,42.735907
luma,notch1---spen,notch1,spen,notch1 -> spen,0.00548770667856822,0.5,0.49451229332143176,65.339724
luma,akt1s1---jak1,akt1s1,jak1,akt1s1 -> jak1,0.00594327353842355,0.5,0.49405672646157645,75.883795
luma,akt1---tsc2,akt1,tsc2,akt1 -> tsc2,0.00623978060995505,0.5,0.49376021939004494,89.50275
luma,slc19a1---spry2,slc19a1,spry2,slc19a1 -> spry2,0.00657088833889769,0.5,0.4934291116611023,42.749358
luma,ccnb1---rad51,rad51,ccnb1,rad51 -> ccnb1,0.5,0.0073481078195105,0.4926518921804895,61.487549
luma,rbpj---sf3b1,rbpj,sf3b1,rbpj -> sf3b1,0.00760975955051906,0.5,0.49239024044948093,60.191006
luma,men1---tsc2,men1,tsc2,men1 -> tsc2,0.00827130249412416,0.5,0.49172869750587583,38.449902
luma,eif4e---zfp36l1,zfp36l1,eif4e,zfp36l1 -> eif4e,0.5,0.0113890798904002,0.4886109201095998,129.392436
luma,eif5a2---map4,map4,eif5a2,map4 -> eif5a2,0.5,0.0120492348110035,0.4879507651889965,55.876699
luma,casp8---eif5a2,casp8,eif5a2,casp8 -> eif5a2,0.0120538452077729,0.5,0.4879461547922271,69.87164
luma,e2f3---eif5a2,e2f3,eif5a2,e2f3 -> eif5a2,0.0120784445060486,0.5,0.4879215554939514,38.082906
luma,akt1s1---smad7,akt1s1,smad7,akt1s1 -> smad7,0.0131101371257319,0.5,0.4868898628742681,55.845294
luma,eif4e---rad51,rad51,eif4e,rad51 -> eif4e,0.5,0.0132625298091006,0.4867374701908994,36.208774
luma,eif5a2---runx1,runx1,eif5a2,runx1 -> eif5a2,0.5,0.0169449680634635,0.4830550319365365,58.461855
luma,map2k1---myc,myc,map2k1,myc -> map2k1,0.5,0.0201217856482722,0.4798782143517278,88.65354
luma,map2k1---map3k1,map3k1,map2k1,map3k1 -> map2k1,0.5,0.0202108974031854,0.4797891025968146,29.015119
luma,jak1---jak2,jak2,jak1,jak2 -> jak1,0.5,0.0203848443736698,0.4796151556263302,35.158576
luma,eif5a2---mmp11,eif5a2,mmp11,eif5a2 -> mmp11,0.0213057728278231,0.5,0.4786942271721769,71.168889
luma,chd1---ubr5,chd1,ubr5,chd1 -> ubr5,0.0215991658119835,0.5,0.4784008341880165,104.580919
luma,mmp1---mmp11,mmp1,mmp11,mmp1 -> mmp11,0.0216777774831281,0.5,0.4783222225168719,43.462674
luma,srd5a1---wfdc2,wfdc2,srd5a1,wfdc2 -> srd5a1,0.5,0.0244413822940196,0.4755586177059804,22.119331
luma,jak1---utrn,utrn,jak1,utrn -> jak1,0.5,0.0262493907403678,0.4737506092596322,35.703199
luma,rab25---sox9,sox9,rab25,sox9 -> rab25,0.5,0.0286743865291723,0.4713256134708277,36.245069
luma,hsd17b7---rab25,hsd17b7,rab25,hsd17b7 -> rab25,0.0288145364596378,0.5,0.4711854635403622,31.172877
luma,map2k1---rad51c,rad51c,map2k1,rad51c -> map2k1,0.5,0.053963002438879,0.44603699756112103,52.627888
luma,map2k4---srd5a1,map2k4,srd5a1,map2k4 -> srd5a1,0.0540937032393617,0.5,0.4459062967606383,37.688564
luma,igf1---pdgfra,igf1,pdgfra,igf1 -> pdgfra,0.0611293666908336,0.5,0.4388706333091664,283.684977
luma,nt5e---pdgfra,nt5e,pdgfra,nt5e -> pdgfra,0.0611293666908336,0.5,0.4388706333091664,181.374393
luma,mmp3---pdgfra,mmp3,pdgfra,mmp3 -> pdgfra,0.0611293666908336,0.5,0.4388706333091664,182.945001
