subtype,source,n_targets
lumb,dlec1,1
lumb,dll1,1
lumb,e2f4,1
lumb,epcam,1
lumb,erbb3,1
lumb,erbb4,1
lumb,fancd2,1
lumb,gata3,1
lumb,hdac9,1
lumb,herc2,1
lumb,hey2,1
lumb,kdm3a,1
lumb,kdm5a,1
lumb,kdm6a,1
lumb,maml1,1
lumb,map2k1,1
lumb,map2k4,1
lumb,map3k3,1
lumb,mapk1,1
lumb,mapk14,1
lumb,mapk6,1
lumb,mmp19,1
lumb,ncor2,1
lumb,nf2,1
lumb,notch1,1
lumb,notch3,1
lumb,pdgfra,1
lumb,plagl1,1
lumb,prkcq,1
lumb,prkg1,1
lumb,rad51c,1
lumb,rbl2,1
lumb,rpgr,1
lumb,runx1,1
lumb,sdc4,1
lumb,sf3b1,1
lumb,smarcd1,1
lumb,src,1
lumb,st7,1
lumb,syne1,1
lumb,taf1,1
lumb,vegfa,1
