subtype,x,y,direction,is_directed,info
basal,casp8,mapk4,undirected,FALSE,14.105246
basal,ccnb1,nr2f1,undirected,NA,14.079443
basal,casp8,foxo3,undirected,NA,14.042787
basal,mapk9,myc,undirected,NA,13.999359
basal,myc,plagl1,plagl1 -> myc (weak),TRUE,13.997558
basal,dab2,e2f3,undirected,NA,13.921339
basal,ncor2,runx1,undirected,FALSE,13.897922
basal,akt1,bmp4,undirected,NA,13.842346
basal,ccnb1,hdac2,undirected,NA,13.802557
basal,akt1s1,myc,undirected,NA,13.783505
basal,cdk2,dab2,undirected,NA,13.77675
basal,pik3r1,runx1,undirected,NA,13.766582
basal,akt1,rbl1,undirected,NA,13.68423
basal,cdk6,nrarp,undirected,NA,13.657814
basal,jak1,smad7,undirected,NA,13.654163
basal,adgra2,runx1,undirected,NA,13.650631
basal,ar,bcl2l1,undirected,NA,13.648506
basal,dll1,runx1,undirected,NA,13.629643
basal,ccne1,eif4ebp1,undirected,FALSE,13.606478
basal,e2f3,rbl2,undirected,FALSE,13.59084
basal,gata3,mecom,undirected,NA,13.573186
basal,eif5a2,mmp11,undirected,FALSE,13.566014
basal,myc,rps6kb2,undirected,NA,13.557696
basal,hsd17b6,mmp11,undirected,NA,13.547846
basal,csf1r,jak2,undirected,NA,13.546572
basal,mapk1,mmp19,undirected,FALSE,13.538965
basal,map2k1,myc,undirected,NA,13.531806
basal,myc,nras,undirected,NA,13.520233
basal,foxp1,runx1,undirected,FALSE,13.51599
basal,e2f3,frmd3,undirected,NA,13.476692
basal,myc,tgfb3,undirected,NA,13.452206
basal,hsd17b4,src,undirected,FALSE,13.448612
basal,cdk6,ncoa3,undirected,NA,13.396449
basal,bcl2l1,kdm5a,undirected,FALSE,13.329227
basal,e2f3,kdm5a,undirected,FALSE,13.323384
basal,ccnb1,ccnd1,undirected,FALSE,13.273112
basal,ctcf,mmp1,undirected,FALSE,13.229643
basal,casp8,rad51,undirected,NA,13.21552
basal,arid1a,src,undirected,NA,13.205694
basal,eif5a2,src,undirected,NA,13.10198
basal,e2f3,nr2f1,undirected,NA,13.089498
basal,akt1,runx1,undirected,NA,13.078864
basal,arid1a,myc,undirected,NA,12.988878
basal,bmp4,erbb2,undirected,NA,12.977592
basal,eif4e,runx1,undirected,NA,12.965132
basal,e2f3,pik3r1,undirected,NA,12.950296
basal,fancd2,gata3,undirected,NA,12.915283
basal,ccne1,nr2f1,undirected,NA,12.908337
basal,acvrl1,mmp11,undirected,NA,12.905145
basal,rad51,src,undirected,NA,12.853651
basal,fn1,vegfb,undirected,FALSE,12.841806
basal,bcl2l1,frmd3,undirected,NA,12.766082
basal,cbfb,myc,undirected,NA,12.731818
basal,runx1,tsc2,undirected,NA,12.714681
basal,peg3,pten,undirected,NA,12.710708
basal,akt1,tbl1xr1,undirected,NA,12.681381
basal,foxp1,pten,undirected,FALSE,12.679845
basal,ccne1,ncoa3,undirected,NA,12.641151
basal,ccne1,tbx3,undirected,NA,12.635741
basal,abcc10,casp8,undirected,NA,12.630495
basal,col6a3,jak1,undirected,NA,12.613363
basal,acvr2a,pten,undirected,FALSE,12.594143
basal,ackr3,jak1,undirected,NA,12.545671
basal,hey1,runx1,undirected,NA,12.539788
basal,mapk6,src,undirected,NA,12.492027
basal,sdc4,src,undirected,NA,12.487562
basal,erbb2,ncoa3,undirected,NA,12.48486
basal,bcl2l1,ttyh1,undirected,NA,12.476937
basal,mmp11,pdgfa,undirected,NA,12.473696
basal,cdk2,nrarp,undirected,FALSE,12.463261
basal,ccne1,fancd2,undirected,NA,12.413944
basal,akr1c2,e2f3,undirected,NA,12.407423
basal,myc,tp53,undirected,FALSE,12.396218
basal,igf1,jak1,undirected,FALSE,12.375212
basal,cdk6,pms2,undirected,NA,12.369866
basal,fas,runx1,undirected,FALSE,12.358661
basal,ccne1,hras,undirected,FALSE,12.302904
basal,akt1,ccnb1,undirected,NA,12.262562
basal,cdkn1a,ppp2cb,undirected,NA,12.244742
basal,ccne1,gldc,undirected,FALSE,12.240771
basal,akt1,mmp15,undirected,FALSE,12.234113
basal,gata3,map3k1,undirected,NA,12.223742
